headline,summary,video_link
b'Linux/Mac Terminal Tutorial: The Grep Command \xe2\x80\x93 Search Files and Directories for Patterns of Text',"b'In this Linux/Mac terminal tutorial, we will be learning how to use the grep command. The grep command allows us to search files and directories for patterns of text. You can also pipe the output of one command into grep to get certain matches. It\xe2\x80\x99s extremely useful once you learn the ins and outs. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=VGgTmxXp7xQ'
b'How to Run Linux/Bash on Windows 10 Using the Built-In Windows Subsystem for Linux',"b'In this video, we will be learning how to run Linux on Windows using the new Windows Subsystem for Linux that comes with Windows 10. This is an excellent way to run Bash on a Windows machine. It allows you to use all of the Bash commands we are used to using on Linux within a Windows system. We will be showing how to enable and install Linux on Windows and also go over a quick overview to see how this works. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=xzgwDbe7foQ'
b'Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows)',"b'In this Python Programming Tutorial, we will be learning how to hide passwords and secret information within environment variables on Windows machines. Hard-coding secret information is a common mistake that beginners make when learning Python. Hiding this information within environment variables allows you to access your secret information within your code without anyone else being able to see these values from your source code. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=IolxqkL7cD8'
b'Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux)',"b'In this Python Programming Tutorial, we will be learning how to hide passwords and secret information within environment variables on Mac and Linux machines. Hard-coding secret information is a common mistake that beginners make when learning Python. Hiding this information within environment variables allows you to access your secret information within your code without anyone else being able to see these values from your source code. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=5iWhQWVXosU'
"b'Python Tutorial: Calculate Number of Days, Weeks, or Months to Reach Specific Goals'","b'In this Python Programming Tutorial, we will be writing three different scripts to estimate how long it will take to reach certain goals. Our first script will calculate how many months it will take us to pay off a credit card. Our second script will calculate how many weeks it will take to lose a certain amount of weight. And our third script will estimate how long it will take to reach a certain number of subscribers. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=k8asfUbWbI4'
b'Python Tutorial: Context Managers \xe2\x80\x93 Efficiently Managing Resources',"b'In this Python Programming Tutorial, we will be learning how to use context managers to properly manage resources. Context Managers are great for when we need to setup or teardown some resources during use. So these can be used for: open and closing files, opening and closing database connections, acquiring and releasing locks, and much much more. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=-aKFBoZpiqA'
b'Channel Update: Look Back on the Year and Big Plans for 2018',"b'In this Channel Update, we will be looking back on 2017 and what we\xe2\x80\x99ve done this year. We will also be looking forward to 2018 and discussing the future plans for this channel. This year was the best year for this channel yet and I can\xe2\x80\x99t thank you all enough. I have plenty planned for the future and I look forward to putting out great tutorials next year!'",b'https://youtube.com/watch?v=CtgkEaeOkew'
b'Python Tutorial: Working with JSON Data using the json Module',"b'In this Python Programming Tutorial, we will be learning how to work with JSON data. We will learn how to load JSON into Python objects from strings and how to convert Python objects into JSON strings. We will also see how to load JSON from a file and save those Python objects back to files. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=9N6a-VLBa2I'
b'Python Tutorial: Web Scraping with BeautifulSoup and Requests',"b'In this Python Programming Tutorial, we will be learning how to scrape websites using the BeautifulSoup library. BeautifulSoup is an excellent tool for parsing HTML code and grabbing exactly the information you need. So whether you\xe2\x80\x99re pulling down headlines from news sites, scores from sports websites, or prices from an online store\xe2\x80\xa6 BeautifulSoup and Python will help you get this done quickly and easily. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=ng2o98k983k'
b'Python Tutorial: re Module \xe2\x80\x93 How to Write and Match Regular Expressions (Regex)',"b'In this Python Programming Tutorial, we will be learning how to read, write, and match regular expressions with the re module. Regular expressions are extremely useful for matching common patterns of text such as email addresses, phone numbers, URLs, etc. Learning how to do this within Python will allow us to quickly parse files and text for the information we need. Let\xe2\x80\x99s get started\xe2\x80\xa6'",b'https://youtube.com/watch?v=K8L6KVGG-7o'
